Iteration,Rank,CNB_alpha,ElasticNet_alpha,ElasticNet_l1_ratio,FeatPreProcess,Featsel_Variance,FeatureScaling,Imputation,ImputationMethod,ImputationNeighbours,LDA_shrinkage,LDA_solver,LRC,LRpenalty,PCAType,QDA_reg_param,RFmax_depth,RFmin_samples_split,RFn_estimators,ReliefDistanceP,ReliefNN,ReliefNumFeatures,ReliefSampleSize,ReliefUse,Resampling_Method,Resampling_Use,Resampling_k_neighbors,Resampling_n_cores,Resampling_n_neighbors,Resampling_sampling_strategy,Resampling_threshold_cleaning,SGD_alpha,SGD_l1_ratio,SGD_loss,SGD_penalty,SVMC,SVMKernel,SVMcoef0,SVMdegree,SVMgamma,SelectFromModel,SelectGroups,StatisticalTestMetric,StatisticalTestThreshold,StatisticalTestUse,UsePCA,classifiers,coliage_features,fractal_features,histogram_features,location_features,log_features,max_iter,orientation_features,original_features,patient_features,phase_features,random_seed,rgrd_features,semantic_features,shape_features,texture_gabor_features,texture_glcm_features,texture_glcmms_features,texture_gldm_features,texture_gldzm_features,texture_glrlm_features,texture_glszm_features,texture_lbp_features,texture_ngldm_features,texture_ngtdm_features,toolbox,vessel_features,wavelet_features,Number
1,21,0.034952429201346225,0.0012504463201473098,0.3134600111003931,False,True,robust_z_score,True,constant,9,0.033447561008746275,svd,0.24496222522975775,l2,50,5.132203935042358e-05,6,3,91,2,3,34,0.9723780237541791,False,NearMiss,False,10,1,11,all,0.31145015115386415,5.920851900729664e-05,0.7653497921541703,modified_huber,l1,33.03821324660117,linear,0.5563140208931985,6.593546357339092,0.46278601017026466,False,True,MannWhitneyU,0.005181063963028743,False,True,GaussianNB,False,False,True,False,True,100000,True,True,False,True,2432060990,True,False,False,True,True,False,True,True,False,True,True,False,True,All,True,True,5525
1,22,0.8561228714964885,0.5671174195224801,0.42773517231890723,False,True,robust_z_score,True,mean,8,0.00025040074038289325,eigen,0.3226780104818264,l2,10,0.006352206515033962,7,4,92,3,4,59,0.9817863794105163,False,RandomUnderSampling,False,15,1,12,all,0.5361032855506416,0.00013189841698759105,0.3053015588052336,squared_hinge,l1,9305.525718725065,linear,0.3302024738799342,5.254442804695918,1.4244732299702986e-05,False,True,MannWhitneyU,0.0012619957219604234,False,False,GaussianNB,False,False,False,False,True,100000,False,True,False,True,1327903574,False,False,True,True,False,True,True,False,True,False,True,True,True,All,False,False,23345
1,23,0.8148903155606085,0.0009721616305274124,0.18068645596735844,False,True,robust_z_score,True,median,6,0.5831724011308238,svd,0.5138101677241002,l2,50,0.000330049081647299,7,2,78,1,2,22,0.9628015684852889,False,NearMiss,True,12,1,8,all,0.42619528298032444,6.35928302528135e-05,0.9937576188104548,modified_huber,l1,79.5889268280906,rbf,0.8456710557506428,3.3111008630035426,4.4439396873748796e-05,False,True,MannWhitneyU,0.0040676467814058925,False,False,GaussianNB,False,False,False,False,False,100000,True,True,False,True,3157906257,False,False,True,True,False,False,False,True,True,True,True,False,True,PREDICT,False,True,465
1,24,0.9742196892802492,0.026362906225025913,0.8651000912661094,False,True,robust_z_score,True,constant,5,0.0003337129907265065,eigen,0.13813255761308052,l2,100,0.57953244306597,9,3,79,2,5,27,0.913533075499753,True,SMOTEENN,False,8,1,7,not minority,0.7105411049930074,0.007950397861617813,0.36862649909185696,modified_huber,l1,5173.8341941534845,rbf,0.4544960265796284,4.8207465864951144,0.6075368021726191,False,True,MannWhitneyU,0.05572019794716719,False,False,QDA,False,False,False,False,False,100000,True,True,False,True,2090095337,True,False,False,True,True,True,False,True,False,False,True,False,True,All,False,False,17525
1,25,0.9614355281549348,1.4014114550611426e-05,0.9045469923515859,False,True,robust_z_score,True,most_frequent,5,0.9859626882786635,eigen,0.5196201216552779,l2,100,0.004318848059358297,9,2,14,1,5,25,0.852639430017599,False,RandomOverSampling,False,18,1,10,not majority,0.50796639149874,0.00046977173357466896,0.5465834411564038,hinge,none,257.94601452780154,linear,0.815735773212296,5.885099654047596,0.002389643410298924,False,True,MannWhitneyU,0.005290730030333619,False,True,QDA,False,True,True,False,False,100000,True,True,False,True,3815393437,False,False,False,False,False,False,False,True,False,False,True,False,False,All,False,False,4365
1,26,0.7870578100380262,0.004512071217482607,0.5482196778837299,False,True,robust_z_score,True,knn,9,0.027521559278038364,svd,0.3830987296556768,l2,95variance,0.0016832631592806038,5,4,78,3,5,44,0.8308727013803405,True,RandomOverSampling,False,16,1,14,not majority,0.636498969856099,0.0011947643198533461,0.41557510437635903,squared_hinge,l2,7226.376468652792,rbf,0.70110696571637,2.6755435221796695,0.2963401346531357,False,True,MannWhitneyU,0.013671375151588422,False,False,LDA,False,False,True,False,False,100000,True,True,False,False,3416578551,False,False,True,False,False,True,False,False,True,True,True,False,True,PyRadiomics,True,True,11745
1,27,0.8623059280297105,0.13991418564742297,0.0011730499833079167,False,True,robust_z_score,True,knn,7,0.7321129338966832,eigen,0.18699946802154177,l2,10,0.003794378916257378,5,3,52,2,3,55,0.8665773209836427,True,RandomUnderSampling,True,9,1,8,auto,0.6815191625442387,0.005150020239929146,0.8206405821239381,modified_huber,l1,108415.54045955127,poly,0.22939763189417883,6.511923057744321,3.7733989151594616e-05,False,True,MannWhitneyU,0.022831595050703892,False,False,LDA,False,False,False,False,True,100000,True,True,False,False,1040127689,False,False,True,True,False,False,False,True,False,False,False,False,False,PREDICT,False,False,17485
1,28,0.5764008158983654,0.00017633426796886416,0.11901669606273901,False,True,robust_z_score,True,median,6,0.001816193890383825,eigen,0.6984888335368071,l2,50,0.09854722685963588,5,3,48,1,2,59,0.8343938366462669,True,RandomUnderSampling,True,11,1,7,auto,0.3022909747900922,8.950702489809095e-05,0.20732309183594788,squared_hinge,l2,95274.97777326895,rbf,0.4004396276599509,6.903827910899262,0.4889082516214612,False,True,MannWhitneyU,0.04420634208462605,False,False,GaussianNB,False,False,True,True,False,100000,True,True,False,True,1913591527,False,False,False,False,True,True,True,False,True,False,True,True,False,PREDICT,True,False,100
1,29,0.9797939054674767,0.008885302426232734,0.6931368618189251,False,True,robust_z_score,True,knn,8,0.7278616925844363,svd,0.08014776266092603,l2,50,0.03829385907915077,5,4,45,3,4,18,0.9672375960017368,True,SMOTEENN,False,8,1,7,all,0.30731252988733515,0.005180804035991541,0.08417068537864003,hinge,l2,2741.429343382035,rbf,0.5459048266059725,1.2577212546274796,0.5611527895746274,False,True,MannWhitneyU,0.06820356327338675,False,True,LDA,False,True,True,True,False,100000,True,True,False,True,1950777545,False,False,True,True,True,False,False,True,False,True,False,True,True,PREDICT,False,True,12540
1,30,0.5090700286863646,0.013658929823215793,0.5331062674048709,False,True,robust_z_score,True,knn,8,0.017441519693300423,lsqr,0.9410746814001427,l2,100,0.003695010777429602,9,2,41,3,4,12,0.7709753739971765,False,RandomOverSampling,False,15,1,13,auto,0.7429001098439034,9.083842739142894e-05,0.7804771840754821,hinge,l2,1.2868602312857036,rbf,0.8664206171502746,3.1488235874179615,0.6618625759021765,False,True,MannWhitneyU,0.0028275668019949914,False,False,RF,False,True,False,True,False,100000,False,True,False,True,510306463,False,False,True,False,False,True,True,True,True,True,False,True,True,PyRadiomics,False,True,4290
1,31,0.43915136659706966,0.03637092552425993,0.8636369479099067,False,True,robust_z_score,True,constant,9,0.06186298547023587,eigen,0.730581451481017,l2,10,0.004611517852149781,5,2,37,2,4,25,0.9626410118961832,True,SMOTEENN,False,7,1,3,all,0.6379541001280113,0.0009861165228041214,0.6712519384881817,hinge,l2,2992.312259732294,poly,0.12166846049171764,6.043795641692518,0.000453294008425988,False,True,MannWhitneyU,0.001987850933519881,False,False,RF,False,True,True,False,False,100000,True,True,False,True,519280083,True,False,True,True,True,True,True,False,True,False,True,True,False,PREDICT,True,True,15290
